Model,Gender,Image,Type,Width,Price,Category,Sizes,Colors
GEL-CUMULUS 25 LITE-SHOW,Men,https://images.asics.com/is/image/asics/1011B752_001_SR_RT_GLB?$productlist$,Zapatillas de hombre,Standard,"€ 160,00","['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '49', '50.5', '51.5']",['Black/Pure Silver']
GEL-CUMULUS 25 LITE-SHOW,Woman,https://images.asics.com/is/image/asics/1012B565_001_SR_RT_GLB?$productlist$,Calzado para mujer,Standard,"€ 160,00","['ASICS', 'Mujer', 'Zapatillas', 'Running', 'Correr Más Lejos']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5']",['Black/Pure Silver']
GEL-CUMULUS 25 TR,Men,https://images.asics.com/is/image/asics/1011B751_200_SR_RT_GLB?$productlist$,Zapatillas de hombre,Standard,"€ 160,00","['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '49', '50.5', '51.5']",['Nature Bathing/Neon Lime']
GEL-CUMULUS 25 TR,Woman,https://images.asics.com/is/image/asics/1012B564_200_SR_RT_GLB?$productlist$,Calzado para mujer,Standard,"€ 160,00","['ASICS', 'Mujer', 'Zapatillas', 'Running', 'Correr Más Lejos']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5']",['Nature Bathing/Lime Green']
GEL-KAYANO 30 LITE-SHOW,Men,https://images.asics.com/is/image/asics/1011B765_001_SR_RT_GLB?$productlist$,Zapatillas de hombre,Standard,"€ 200,00","['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '49', '50.5', '51.5']",['Black/Pure Silver']
GEL-KAYANO 30 LITE-SHOW,Woman,https://images.asics.com/is/image/asics/1012B576_001_SR_RT_GLB?$productlist$,Calzado para mujer,Standard,"€ 200,00","['ASICS', 'Mujer', 'Zapatillas', 'Running', 'Correr Más Lejos']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '46']",['Black/Pure Silver']
GEL-NIMBUS 25 TR,Men,https://images.asics.com/is/image/asics/1011B769_200_SR_RT_GLB?$productlist$,Zapatillas de hombre,Standard,"€ 200,00","['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '48.5', '49', '50.5', '51.5']",['Nature Bathing/Neon Lime']
GEL-NIMBUS 25 TR,Woman,https://images.asics.com/is/image/asics/1012B581_200_SR_RT_GLB?$productlist$,Calzado para mujer,Standard,"€ 200,00","['ASICS', 'Mujer', 'Zapatillas', 'Running', 'Correr Más Lejos']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46']",['Nature Bathing/Lime Green']
GT-1000 12 LITE-SHOW,Men,https://images.asics.com/is/image/asics/1011B762_001_SR_RT_GLB?$productlist$,Zapatillas de hombre,Standard,"€ 130,00","['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '49', '50.5', '51.5', '53']",['Black/Pure Silver']
GT-1000 12 LITE-SHOW,Woman,https://images.asics.com/is/image/asics/1012B573_001_SR_RT_GLB?$productlist$,Calzado para mujer,Standard,"€ 130,00","['ASICS', 'Mujer', 'Zapatillas', 'Running', 'Correr Más Lejos']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5']",['Black/Pure Silver']
GT-1000 12 TR,Men,https://images.asics.com/is/image/asics/1011B761_200_SR_RT_GLB?$productlist$,Zapatillas de hombre,Standard,"€ 130,00","['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '49', '50.5', '51.5', '53']",['Nature Bathing/Neon Lime']
GT-1000 12 TR,Woman,https://images.asics.com/is/image/asics/1012B575_200_SR_RT_GLB?$productlist$,Calzado para mujer,Standard,"€ 130,00","['ASICS', 'Mujer', 'Zapatillas', 'Running', 'Correr Más Lejos']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5']",['Nature Bathing/Lime Green']
GT-2000 12,Men,https://images.asics.com/is/image/asics/1011B691_001_SR_RT_GLB?$productlist$,Zapatillas de hombre,Standard,"€ 160,00","['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '48.5', '49', '50.5', '51.5', '53']","['Illusion Blue/Black', 'Black/Black', 'Black/Glow Yellow', 'French Blue/Foggy Teal', 'Black/Carrier Grey']"
GT-2000 12,Woman,https://images.asics.com/is/image/asics/1012B506_022_SR_RT_GLB?$productlist$,Calzado para mujer,Standard,"€ 160,00","['ASICS', 'Mujer', 'Zapatillas', 'Running', 'Correr Más Lejos']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46']","['Light Garnet/Brisket Red', 'Black/Carrier Grey', 'Tarmac/Black', 'Pure Aqua/White']"
GT-2000 12 LITE-SHOW,Men,https://images.asics.com/is/image/asics/1011B766_001_SR_RT_GLB?$productlist$,Zapatillas de hombre,Standard,"€ 160,00","['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '48.5', '49', '50.5', '51.5', '53']",['Black/Pure Silver']
GT-2000 12 LITE-SHOW,Woman,https://images.asics.com/is/image/asics/1012B578_001_SR_RT_GLB?$productlist$,Calzado para mujer,Standard,"€ 160,00","['ASICS', 'Mujer', 'Zapatillas', 'Running', 'Correr Más Lejos']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46']",['Black/Pure Silver']
