Model,Gender,Image,Type,Width,Price,Category,Sizes,Colors
Addiction 14,Men,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dwdecd9792/original/110317/110317-066-l-addiction-14-mens-support-running-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas running asfalto hombre,4 Anchos,"130,00 €","['Zapatillas de Running', 'Zapatillas running asfalto hombre']","['EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,0', 'EU 45,5', 'EU 46,0', 'EU 46,5', 'EU 47,5', 'EU 48,5', 'EU 49,5', 'EU 50,5']","['028 - Blackened Pearl/Blue/Black', '039 - Black/Charcoal/Black', '066 - Black/Blackened Pearl/Samba']"
Addiction 14,Woman,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dwe53a0991/original/120306/120306-077-l-addiction-14-womens-support-running-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas Running Asfalto para Mujer,4 Anchos,"130,00 €","['Zapatillas de Running', 'Zapatillas Running Asfalto para Mujer']","['EU 35,5', 'EU 36,0', 'EU 36,5', 'EU 37,5', 'EU 38,0', 'EU 38,5', 'EU 39,0', 'EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5']","['050 - Black/Hot Pink/Silver', '061 - Blackened Pearl/Arcadia', '077 - Oyster/Alloy/Marlin']"
Addiction GTS 15,Men,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dw8eda255d/original/110365/110365-077-l-addiction-gts-15-mens-supportive-running-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas running asfalto hombre,4 Anchos,"140,00 €","['Zapatillas de Running', 'Zapatillas running asfalto hombre']","['EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,0', 'EU 45,5', 'EU 46,0', 'EU 46,5', 'EU 47,5', 'EU 48,5', 'EU 49,5', 'EU 50,5']","['077 - India Ink/Black/Blue', '043 - Grey/Ebony/Chili Oil', '020 - Black/Black/Ebony']"
Addiction GTS 15,Woman,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dwe69086b6/original/120352/120352-088-l-addiction-gts-15-womens-supportive-running-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas Running Asfalto para Mujer,4 Anchos,"140,00 €","['Zapatillas de Running', 'Zapatillas Running Asfalto para Mujer']","['EU 35,5', 'EU 36,0', 'EU 36,5', 'EU 37,5', 'EU 38,0', 'EU 38,5', 'EU 39,0', 'EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5']","['088 - Black/Ebony/Mauvewood', '099 - Grey/Navy/Aqua', '054 - Oyster/Peacoat/Lilac Rose']"
Addiction Walker 2,Men,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dw52ef8e45/original/110318/110318-142-l-addiction-walker-2-mens-supportive-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas Andar Hombre,4 Anchos,"140,00 €","['Zapatillas de Running', 'Zapatillas Andar Hombre']","['EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,0', 'EU 45,5', 'EU 46,0', 'EU 46,5', 'EU 47,5', 'EU 48,5', 'EU 49,5']","['072 - Black/Black', '142 - White/White']"
Addiction Walker 2,Woman,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dw30a9835f/original/120307/120307-142-l-addiction-walker-2-womens-supportive-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas Caminar Mujer,4 Anchos,"140,00 €","['Zapatillas de Running', 'Zapatillas Caminar Mujer']","['EU 35,5', 'EU 36,0', 'EU 36,5', 'EU 37,5', 'EU 38,0', 'EU 38,5', 'EU 39,0', 'EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5']","['072 - Black/Black', '142 - White/White']"
Addiction Walker Suede,Men,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dwb2042086/original/110319/110319-445-l-addiction-walker-suede-mens-supportive-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas Andar Hombre,3 Anchos,"140,00 €","['Zapatillas de Running', 'Zapatillas Andar Hombre']","['EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,0', 'EU 45,5', 'EU 46,0', 'EU 46,5', 'EU 47,5', 'EU 48,5', 'EU 49,5']","['083 - Black/Primer/Black', '445 - Peacoat/Shade/Peacoat']"
Addiction Walker Suede,Woman,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dwd8a4fabc/original/120308/120308-007-l-addiction-walker-suede-womens-supportive-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas Caminar Mujer,3 Anchos,"140,00 €","['Zapatillas de Running', 'Zapatillas Caminar Mujer']","['EU 35,5', 'EU 36,0', 'EU 36,5', 'EU 37,5', 'EU 38,0', 'EU 38,5', 'EU 39,0', 'EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5']","['094 - Shark/Alloy/Oyster', '007 - Alloy/Oyster/Peach']"
Addiction Walker V-Strap 2,Men,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dw9820cb49/original/110320/110320-142-l-addiction-walker-v-strap-2-mens-supportive-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas Andar Hombre,3 Anchos,"140,00 €","['Zapatillas de Running', 'Zapatillas Andar Hombre']","['EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,0', 'EU 45,5', 'EU 46,0', 'EU 46,5', 'EU 47,5', 'EU 48,5', 'EU 49,5']","['142 - White/White', '072 - Black/Black']"
Addiction Walker V-Strap 2,Woman,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dwe75a1acf/original/120309/120309-142-l-addiction-walker-v-strap-2-womens-supportive-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas Caminar Mujer,3 Anchos,"140,00 €","['Zapatillas de Running', 'Zapatillas Caminar Mujer']","['EU 35,5', 'EU 36,0', 'EU 36,5', 'EU 37,5', 'EU 38,0', 'EU 38,5', 'EU 39,0', 'EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5']","['142 - White/White', '072 - Black/Black']"
