Model,Type,Price,Gender,Image,Category,Colors
Nike InfinityRN 4 GORE-TEX,Zapatillas de running para asfalto impermeables - Mujer,"189,99 €",Woman,Unknown,Unknown,Unknown
Nike Pegasus Shield,Zapatillas de running para asfalto para el mal tiempo - Mujer,"144,99 €",Woman,Unknown,Unknown,Unknown
Nike Pegasus Trail 4 GORE-TEX,Zapatillas de trail running para el mal tiempo - Mujer,"159,99 €",Woman,Unknown,Unknown,Unknown
Nike Air Winflo 9 Shield,Zapatillas de running para asfalto para el mal tiempo - Mujer,"124,99 €",Woman,Unknown,Unknown,Unknown
Nike Quest 4,Zapatillas de running para asfalto - Mujer,"67,47 €",Woman,Unknown,Unknown,Unknown
Nike Pegasus 40,Zapatillas de running para asfalto - Mujer,"97,47 €",Woman,Unknown,Unknown,Unknown
Nike Revolution 7,Zapatillas de running para asfalto - Mujer,"64,99 €",Woman,Unknown,Unknown,Unknown
Nike Downshifter 12,Zapatillas de running para asfalto - Mujer,"69,99 €",Woman,Unknown,Unknown,Unknown
Nike Pegasus Turbo,Zapatillas de running para asfalto - Mujer,"143,97 €",Woman,Unknown,Unknown,Unknown
Nike Vaporfly 3,Zapatillas de competición para asfalto - Mujer,"259,99 €",Woman,Unknown,Unknown,Unknown
Nike Zegama,Zapatillas de trail running - Mujer,"143,97 €",Woman,Unknown,Unknown,Unknown
Nike Pegasus Trail 4,Zapatillas de trail running - Mujer,"77,97 €",Woman,Unknown,Unknown,Unknown
Nike Zoom Fly 5,Zapatillas de running para asfalto - Mujer,"169,99 €",Woman,Unknown,Unknown,Unknown
Nike Juniper Trail 2 Next Nature,Zapatillas de trail running - Mujer,"89,99 €",Woman,Unknown,Unknown,Unknown
Nike Vomero 17,Zapatillas de running para asfalto - Mujer,"159,99 €",Woman,Unknown,Unknown,Unknown
Nike Invincible 3,Zapatillas de running para asfalto - Mujer,"189,99 €",Woman,Unknown,Unknown,Unknown
Nike Experience Run 11,Zapatillas de running para asfalto - Mujer,"69,99 €",Woman,Unknown,Unknown,Unknown
Nike Renew Run 4,Zapatillas de running para asfalto - Mujer,"61,97 €",Woman,Unknown,Unknown,Unknown
Nike InfinityRN 4,Zapatillas de running para asfalto - Mujer,"169,99 €",Woman,Unknown,Unknown,Unknown
Nike Structure 25,Zapatillas de running para asfalto - Mujer,"129,99 €",Woman,Unknown,Unknown,Unknown
Nike Alphafly 2,Zapatillas de competición para asfalto - Mujer,"309,99 €",Woman,Unknown,Unknown,Unknown
Nike Winflo 10,Zapatillas de running para asfalto - Mujer,"87,97 €",Woman,Unknown,Unknown,Unknown
Nike Free RN By You,Zapatillas de running para asfalto personalizables - Mujer,"139,99 €",Woman,Unknown,Unknown,Unknown
Nike Escape Run 2,Zapatillas de running para asfalto - Mujer,"59,97 €",Woman,Unknown,Unknown,Unknown
Nike Pegasus Shield,Zapatillas de running para carretera para el mal tiempo - Hombre,"144,99 €",Men,Unknown,Unknown,Unknown
