Image,Model,Price,Gender,Peso Hombre,Peso Mujer,Drop,Amortiguación,Constitución,Pisada,Superficie,Uso,Ritmo,Pie,Apoyo,Distancia,Año,URL
https://static.runnea.com/images/202309/hoka-clifton-9-zapatillas-running-400x400x90xX.jpg?1,HOKA Clifton 9,"107,20 €","Hombre, Mujer","275 (9,5 US)",225 (7 US),5 mm,"Neutro, Alto","Delgada, Medio","Neutro, Supinador",Asfalto,Entrenamiento,"Medio, Alto","Cavo, Normal","Punta, Talón","Corto, 10K, Media maratón, Maratón",2023,
https://static.runnea.com/images/202306/nike-pegasus-39-zapatillas-running-400x400x90xX.jpg?1,Nike Pegasus 39,"83,99 €","Hombre, Mujer",270 gr,230 gr,10 mm,Neutro,"Delgada, Medio",Neutro,Asfalto,"Entrenamiento, Competición","Medio, Alto",Normal,Talón,"Corto, 10K, Media maratón, Maratón",2021,
https://static.runnea.com/images/202211/hoka-bondi-8-zapatillas-running-400x400x80xX.jpg?1,HOKA Bondi 8,"104,89 €","Hombre, Mujer",304 gr,4 mm,Alto,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,Medio,Normal,Talón,"Corto, 10K, Media maratón, Maratón",2022,,
https://static.runnea.com/images/202310/new-balance-fresh-foam-x-1080-v12-zapatillas-running-400x400x90xX.jpg?1,New Balance Fresh Foam X 1080 v12,"118,95 €","Hombre, Mujer",292 gr,234 gr,8 mm,Alto,Medio,Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"10K, Media maratón, Maratón",Material reciclado,Unknown
https://static.runnea.com/images/202210/new-balance-nitrel-v5-zapatillas-running-400x400x80xX.jpg?1,New Balance Nitrel v5,"54,99 €","Hombre, Mujer",294 gr,236 gr,8 mm,Neutro,"Delgada, Medio, Fuerte",Neutro,Trail,Entrenamiento,Medio,Normal,Talón,"Corto, 10K, Media maratón",Material reciclado,Unknown
https://static.runnea.com/images/202302/asics-gel-trabuco-11-zapatillas-running-400x400x90xX.jpg?1,ASICS Gel Trabuco 11,"95,99 €","Hombre, Mujer",295 gr,8 mm,Alto,"Medio, Fuerte",Neutro,Trail,"Entrenamiento, Competición",Medio,Normal,Talón,"Corto, 10K, Media maratón, Maratón, ultra-trail",Material reciclado,2023,
https://static.runnea.com/images/202211/joma-sima-zapatillas-running-400x400x80xX.jpg?1,Joma Sima,"55,96 €","Hombre, Mujer",345 gr,8 mm,Neutro,Delgada,Neutro,Trail,Entrenamiento,"Bajo, Medio",Normal,Talón,"Corto, 10K, Media maratón",2022,,
https://static.runnea.com/images/202210/hoka-speedgoat-5-zapatillas-running-400x400x80xX.jpg?1,HOKA Speedgoat 5,"89,25 €","Hombre, Mujer",292 gr,5 mm,Alto,"Delgada, Medio",Neutro,Trail,Entrenamiento,"Medio, Alto",Normal,Talón,"Maratón, ultra-trail",Veganas,2021,
https://static.runnea.com/images/202309/hoka-clifton-9-zapatillas-running-400x400x90xX.jpg?1,HOKA Clifton 9,"107,20 €","Hombre, Mujer","275 (9,5 US)",225 (7 US),5 mm,"Neutro, Alto","Delgada, Medio","Neutro, Supinador",Asfalto,Entrenamiento,"Medio, Alto","Cavo, Normal","Punta, Talón","Corto, 10K, Media maratón, Maratón",2023,
https://static.runnea.com/images/202212/asics-gel-nimbus-25-zapatillas-running-400x400x90xX.jpg?1,ASICS Nimbus 25,"119,00 €","Hombre, Mujer",289 gr,227 gr,8 mm,Alto,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"10K, Media maratón, Maratón","Material reciclado, Sostenibles en CO2",Unknown
